Country,IWT Risk Destination,IWT Risk Origin,Region
Angola,N,Y,Sub-Saharan
Argentina,N,Y,Central & South America
Belize,N,Y,Central & South America
Benin,N,Y,Sub-Saharan
Bolivia,N,Y,Central & South America
Botswana,N,Y,Sub-Saharan
Brazil,N,Y,Central & South America
British Indian Ocean Territory,N,Y,Sub-Saharan
Brunei,Y,N,East and South-East Asia
Burkina Faso,N,Y,Sub-Saharan
Burundi,N,Y,Sub-Saharan
Cambodia,Y,N,East and South-East Asia
Cameroon,N,Y,Sub-Saharan
Cape Verde,N,Y,Sub-Saharan
Central African Republic,N,Y,Sub-Saharan
Chad,N,Y,Sub-Saharan
Chile,N,Y,Central & South America
China,Y,N,East and South-East Asia
Colombia,N,Y,Central & South America
Comoros,N,Y,Sub-Saharan
Congo,N,Y,Sub-Saharan
Costa Rica,N,Y,Central & South America
Cote dIvoire,N,Y,Sub-Saharan
Democratic Republic of Congo,N,Y,Sub-Saharan
Djibouti,N,Y,Sub-Saharan
East Timor,Y,N,East and South-East Asia
Ecuador,N,Y,Central & South America
El Salvador,N,Y,Central & South America
Equatorial Guinea,N,Y,Sub-Saharan
Eritrea,N,Y,Sub-Saharan
Ethiopia,N,Y,Sub-Saharan
Falkland Islands,N,Y,Central & South America
French Guyana,N,Y,Central & South America
Gabon,N,Y,Sub-Saharan
Gambia,N,Y,Sub-Saharan
Ghana,N,Y,Sub-Saharan
Guatemala,N,Y,Central & South America
Guinea,N,Y,Sub-Saharan
Guinea Bissau,N,Y,Sub-Saharan
Guyana,N,Y,Central & South America
Honduras,N,Y,Central & South America
Hong Kong,Y,N,East and South-East Asia
Indonesia,Y,N,East and South-East Asia
Japan,Y,N,East and South-East Asia
Kenya,N,Y,Sub-Saharan
Korea,Y,N,East and South-East Asia
Laos,Y,N,East and South-East Asia
Lesotho,N,Y,Sub-Saharan
Liberia,N,Y,Sub-Saharan
Macao,Y,N,East and South-East Asia
Madagascar,N,Y,Sub-Saharan
Malawi,N,Y,Sub-Saharan
Malaysia,Y,N,East and South-East Asia
Mali,N,Y,Sub-Saharan
Mauritania,N,Y,Sub-Saharan
Mauritius,N,Y,Sub-Saharan
Mayotte,N,Y,Sub-Saharan
Mexico,N,Y,Central & South America
Mongolia,Y,N,East and South-East Asia
Mozambique,N,Y,Sub-Saharan
Myanmar,Y,N,East and South-East Asia
Namibia,N,Y,Sub-Saharan
Nicaragua,N,Y,Central & South America
Niger,N,Y,Sub-Saharan
Nigeria,N,Y,Sub-Saharan
Panama,N,Y,Central & South America
Paraguay,N,Y,Central & South America
Peru,N,Y,Central & South America
Philippines,Y,N,East and South-East Asia
Reunion,N,Y,Sub-Saharan
Rwanda,N,Y,Sub-Saharan
Sao Tome & Principe,N,Y,Sub-Saharan
Senegal,N,Y,Sub-Saharan
Seychelles,N,Y,Sub-Saharan
Sierra Leone,N,Y,Sub-Saharan
Singapore,Y,N,East and South-East Asia
Somalia,N,Y,Sub-Saharan
South Africa,N,Y,Sub-Saharan
South Korea,Y,N,East and South-East Asia
Sudan,N,Y,Sub-Saharan
Suriname,N,Y,Central & South America
Swaziland,N,Y,Sub-Saharan
Taiwan,Y,N,East and South-East Asia
Tanzania,N,Y,Sub-Saharan
Thailand,Y,N,East and South-East Asia
Togo,N,Y,Sub-Saharan
Uganda,N,Y,Sub-Saharan
Uruguay,N,Y,Central & South America
Venezuela,N,Y,Central & South America
Vietnam,Y,N,East and South-East Asia
Zambia,N,Y,Sub-Saharan
Zimbabwe,N,Y,Sub-Saharan
